orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,Population de l'Aire de Santé
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Dumobata Aire de Santé,YZiQ5bfxIAe,bu Dumobata Aire de Santé,52330206,,2020,2020,2020,,10476
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Ebale Aire de Santé,U2mnlRsKWZo,bu Ebale Aire de Santé,52340112,,2020,2020,2020,,4078
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Efolu Aire de Santé,QnyhovEJami,bu Efolu Aire de Santé,52330104,,2020,2020,2020,,9055
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Eganda Aire de Santé,glTlFCCxjsi,bu Eganda Aire de Santé,52330105,,2020,2020,2020,,6194
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Ganga Aire de Santé,mAE5GGXZ1v4,bu Ganga Aire de Santé,52350107,,2020,2020,2020,,8445
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Gasende Aire de Santé,V2LHJ5U9vG9,bu Gasende Aire de Santé,52310203,,2020,2020,2020,,5874
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Gatanga Aire de Santé,ejB70yjXmST,bu Gatanga Aire de Santé,52330106,,2020,2020,2020,,11018
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Gbangatana Aire de Santé,Jt8hCMz9sWq,bu Gbangatana Aire de Santé,52310204,,2020,2020,2020,,5772
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Gitalio Aire de Santé,NhXIo3Wnwao,bu Gitalio Aire de Santé,52330207,,2020,2020,2020,,4165
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Gumbu Aire de Santé,Sn7TEcGmH2A,bu Gumbu Aire de Santé,52330208,,2020,2020,2020,,6843
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Itimbiri Aire de Santé,iLIu0wsDtEp,bu Itimbiri Aire de Santé,52320110,,2020,2020,2020,,15034
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Kana  Aire de Santé,ExBABqlyXqN,bu Kana  Aire de Santé,52350108,,2020,2020,2020,,6916
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Kana Aire de Santé,G6r41YumgKb,bu Kana Aire de Santé,52360105,,2020,2020,2020,,10602
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Kembisa Aire de Santé,nJys5XuVeLV,bu Kembisa Aire de Santé,52360106,,2020,2020,2020,,10504
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Kisanga Aire de Santé,uRpIEI42mMZ,bu Kisanga Aire de Santé,52360107,,2020,2020,2020,,11634
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Kolo Aire de Santé,Uuwo9amxIHt,bu Kolo Aire de Santé,52330304,,2020,2020,2020,,7135
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Kopi Aire de Santé,fr38UJWCS21,bu Kopi Aire de Santé,52350109,,2020,2020,2020,,4704
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Koteli Aire de Santé,CcSEaVKbTMf,bu Koteli Aire de Santé,52310104,,2020,2020,2020,,11808
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Kpakana Aire de Santé,MNU7hH6EHd7,bu Kpakana Aire de Santé,52330107,,2020,2020,2020,,6663
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Kule Aire de Santé,eNilo3FDO6W,bu Kule Aire de Santé,52330108,,2020,2020,2020,,22486
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Kulu Aire de Santé,WWG1jeSDfme,bu Kulu Aire de Santé,52320203,,2020,2020,2020,,5328
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Kumu Aire de Santé,YafoHGFoECv,bu Kumu Aire de Santé,52310205,,2020,2020,2020,,8957
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Lebo Aire de Santé,v7nT6nMD5lc,bu Lebo Aire de Santé,52350110,,2020,2020,2020,,4267
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Liguga Aire de Santé,dcxGEiG6LX1,bu Liguga Aire de Santé,52310206,,2020,2020,2020,,7256
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Likandi Aire de Santé,K1vkqmtGHN9,bu Likandi Aire de Santé,52350111,,2020,2020,2020,,4051
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Limba Aire de Santé,ZXgmjj98sR7,bu Limba Aire de Santé,52360203,,2020,2020,2020,,13257
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Lobi Aire de Santé,oCX50lzv3hg,bu Lobi Aire de Santé,52330305,,2020,2020,2020,,10849
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Lokando Aire de Santé,utPBNENDJOO,bu Lokando Aire de Santé,52360204,,2020,2020,2020,,9117
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Mabangu Aire de Santé,jv62cMVVgrM,bu Mabangu Aire de Santé,52320204,,2020,2020,2020,,9337
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Mabodho Aire de Santé,SrTMJlpfxPi,bu Mabodho Aire de Santé,52350112,,2020,2020,2020,,6976
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Mainika Aire de Santé,GqHsYDhHCDM,bu Mainika Aire de Santé,52340113,,2020,2020,2020,,4391
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Makala Aire de Santé,gEHSVwyFhWa,bu Makala Aire de Santé,52310105,,2020,2020,2020,,12467
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Makoko Aire de Santé,IxF8bgmIJ1c,bu Makoko Aire de Santé,52320111,,2020,2020,2020,,7658
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Makongo Aire de Santé,zSHo0zGz0Y5,bu Makongo Aire de Santé,52350113,,2020,2020,2020,,12104
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Makpoyo Aire de Santé,zEOSwW0J7TV,bu Makpoyo Aire de Santé,52340114,,2020,2020,2020,,3162
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Malikuta Aire de Santé,EuG9OxMvBYb,bu Malikuta Aire de Santé,52310106,,2020,2020,2020,,10760
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Malingwia Aire de Santé,KNpepMf3WKx,bu Malingwia Aire de Santé,52310207,,2020,2020,2020,,12895
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Mangindanginda Aire de Santé,eqyNuCwObHc,bu Mangindanginda Aire de Santé,52320112,,2020,2020,2020,,15938
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Mangoli Aire de Santé,EFLVlvRQ27J,bu Mangoli Aire de Santé,52330209,,2020,2020,2020,,6551
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Mangoro Aire de Santé,zVWAprHD0dh,bu Mangoro Aire de Santé,52360108,,2020,2020,2020,,7487
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Manziada Aire de Santé,CwQGRfqcXYT,bu Manziada Aire de Santé,52360205,,2020,2020,2020,,3648
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Maselebende Aire de Santé,iPIA0XsObtz,bu Maselebende Aire de Santé,52310107,,2020,2020,2020,,21486
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Mawa Ngeito Aire de Santé,KzhLBDitm3C,bu Mawa Ngeito Aire de Santé,52360110,,2020,2020,2020,,4991
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Mawagarre Aire de Santé,ELZk4IuxhtZ,bu Mawagarre Aire de Santé,52360109,,2020,2020,2020,,9688
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Mazulu Aire de Santé,HnKDtS2Lmmi,bu Mazulu Aire de Santé,52360206,,2020,2020,2020,,5287
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Mbabi Aire de Santé,UoBe9ETtYMa,bu Mbabi Aire de Santé,52340115,,2020,2020,2020,,4525
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Mbana Aire de Santé,LvaY2QZvKo7,bu Mbana Aire de Santé,52360207,,2020,2020,2020,,13822
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Mbenge Aire de Santé,lJsWeyrYMYc,bu Mbenge Aire de Santé,52310208,,2020,2020,2020,,8251
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Mbibili Aire de Santé,TYKwhufm9rp,bu Mbibili Aire de Santé,52340116,,2020,2020,2020,,5700
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Mbiri Aire de Santé,QTedVrMeLxo,bu Mbiri Aire de Santé,52360111,,2020,2020,2020,,2775
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Mboti Aire de Santé,cm6JOZMtD5G,bu Mboti Aire de Santé,52340117,,2020,2020,2020,,5061
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Melume Aire de Santé,LQUtxA6eB96,bu Melume Aire de Santé,52310108,,2020,2020,2020,,7444
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Mengi Aire de Santé,CQOaMQiScJf,bu Mengi Aire de Santé,52330306,,2020,2020,2020,,6433
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Mobenge Aire de Santé,blODjMDq64N,bu Mobenge Aire de Santé,,,2020,2020,2020,,7532
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Mobenge Aire de Santé,MIwzL67m8mI,bu Mobenge Aire de Santé,52310109,,2020,2020,2020,,18692
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Molambi Aire de Santé,N6MW0JiEZAW,bu Molambi Aire de Santé,52350114,,2020,2020,2020,,4707
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Mombwasa Aire de Santé,S6flGA0GGCH,bu Mombwasa Aire de Santé,52320113,,2020,2020,2020,,9381
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Monga 1 Aire de Santé,kQ203t2V4H4,bu Monga 1 Aire de Santé,52330307,,2020,2020,2020,,8421
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Monga 2 Aire de Santé,ruKgNYUhm6R,bu Monga 2 Aire de Santé,52330308,,2020,2020,2020,,8688
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Mongbaya Aire de Santé,qXfgPrWWVGB,bu Mongbaya Aire de Santé,52350115,,2020,2020,2020,,5680
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Mopendu Aire de Santé,gSXTXfH3JGK,bu Mopendu Aire de Santé,52320206,,2020,2020,2020,,4588
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Mugalie Aire de Santé,VJH6voJICqz,bu Mugalie Aire de Santé,52340118,,2020,2020,2020,,6434
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Muma Aire de Santé,BroODngoa14,bu Muma Aire de Santé,52320207,,2020,2020,2020,,14666
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Mumbu Aire de Santé,wdj60PqsokN,bu Mumbu Aire de Santé,52330210,,2020,2020,2020,,9816
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Nagbongbo Aire de Santé,kJNXL54oJHn,bu Nagbongbo Aire de Santé,52360208,,2020,2020,2020,,19391
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Nalamu Aire de Santé,iQnZfStmkCX,bu Nalamu Aire de Santé,52360209,,2020,2020,2020,,10684
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Nambwa Aire de Santé,TXdlYnJclW5,bu Nambwa Aire de Santé,52320208,,2020,2020,2020,,8346
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Naumbate Aire de Santé,OblAWcqMi2A,bu Naumbate Aire de Santé,52360112,,2020,2020,2020,,3589
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Nawiwi Aire de Santé,jkrdIWqqA64,bu Nawiwi Aire de Santé,52360210,,2020,2020,2020,,17942
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Ndamana Aire de Santé,iIzdj7EfDUV,bu Ndamana Aire de Santé,52340119,,2020,2020,2020,,3720
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Nebanguma Aire de Santé,JiDFTsOHO60,bu Nebanguma Aire de Santé,52350116,,2020,2020,2020,,6049
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Nenzepida Aire de Santé,tEwyMbJ0GFP,bu Nenzepida Aire de Santé,52360113,,2020,2020,2020,,2474
République Démocratique du Congo,bu Bas Uele Province,bu Viadana Zone de Santé,bu Neru Aire de Santé,S6US16c0QvO,bu Neru Aire de Santé,52360211,,2020,2020,2020,,8485
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Neza Aire de Santé,DGiZ6IocedZ,bu Neza Aire de Santé,52360114,,2020,2020,2020,,4545
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Ngay Aire de Santé,vaCUHM0MTzl,bu Ngay Aire de Santé,52320209,,2020,2020,2020,,5419
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Ngbandea Aire de Santé,mb8GSxakxA2,bu Ngbandea Aire de Santé,52350117,,2020,2020,2020,,2278
République Démocratique du Congo,bu Bas Uele Province,bu Likati Zone de Santé,bu Ngbatala Aire de Santé,AfXWa7aIj3p,bu Ngbatala Aire de Santé,52320210,,2020,2020,2020,,4444
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Ngbongabe Aire de Santé,LjJbZenjWRV,bu Ngbongabe Aire de Santé,52320114,,2020,2020,2020,,15276
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Ngombo Aire de Santé,RAIEYko0wzY,bu Ngombo Aire de Santé,52320115,,2020,2020,2020,,6844
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Nguma Aire de Santé,yCIuytRbCQC,bu Nguma Aire de Santé,52360115,,2020,2020,2020,,8983
République Démocratique du Congo,bu Bas Uele Province,bu Titule Zone de Santé,bu Ngume Aire de Santé,B0RtEtt1sTe,bu Ngume Aire de Santé,52310209,,2020,2020,2020,,6374
République Démocratique du Congo,bu Bas Uele Province,bu Ganga Zone de Santé,bu Ngwale Aire de Santé,Kuj0idLQHDn,bu Ngwale Aire de Santé,52350118,,2020,2020,2020,,3362
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Ntongo Etani Aire de Santé,EEvm5lp9vQi,bu Ntongo Etani Aire de Santé,52330109,,2020,2020,2020,,13043
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Nyapu Aire de Santé,Mw6rsOUptp2,bu Nyapu Aire de Santé,52360116,,2020,2020,2020,,11808
République Démocratique du Congo,bu Bas Uele Province,bu Monga Zone de Santé,bu Nzerret Aire de Santé,Ipdr2cczuPl,bu Nzerret Aire de Santé,52330309,,2020,2020,2020,,9568
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Panzaka Aire de Santé,BVFzLou3fhv,bu Panzaka Aire de Santé,52330110,,2020,2020,2020,,12940
République Démocratique du Congo,bu Bas Uele Province,bu Aketi Zone de Santé,bu Pesana Aire de Santé,I7DlAlutkW7,bu Pesana Aire de Santé,52320116,,2020,2020,2020,,6588
République Démocratique du Congo,bu Bas Uele Province,bu Poko Zone de Santé,bu Poko Centre Aire de Santé,CL2yswTqOW7,bu Poko Centre Aire de Santé,52360117,,2020,2020,2020,,16338
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Popoka Aire de Santé,q9Z58EwANdQ,bu Popoka Aire de Santé,52310110,,2020,2020,2020,,16754
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Rive Gauche Aire de Santé,AijiF45XPBj,bu Rive Gauche Aire de Santé,52310111,,2020,2020,2020,,21676
République Démocratique du Congo,bu Bas Uele Province,bu Bili Zone de Santé,bu Roa Aire de Santé,tPOzqTjMpwG,bu Roa Aire de Santé,52330211,,2020,2020,2020,,9551
République Démocratique du Congo,bu Bas Uele Province,bu Buta Zone de Santé,bu Rubi Aire de Santé,DpKZVJFbkgh,bu Rubi Aire de Santé,52310112,,2020,2020,2020,,18531
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Samungu Aire de Santé,nTc1gY6C9UC,bu Samungu Aire de Santé,52340120,,2020,2020,2020,,3856
République Démocratique du Congo,bu Bas Uele Province,bu Ango Zone de Santé,bu Sangwa Aire de Santé,ZnJnw2pZ4oM,bu Sangwa Aire de Santé,52340121,,2020,2020,2020,,3807
République Démocratique du Congo,bu Bas Uele Province,bu Bondo Zone de Santé,bu Sasa Aire de Santé,OvZFs5IobKq,bu Sasa Aire de Santé,52330111,,2020,2020,2020,,7480
